polling_firm	variable	value	date	wikidata_id
SWG	SC	8.8	2013-02-05	Q2792033
Demopolis	SC	9.5	2013-02-05	Q2792033
Ipsos	SC	10.1	2013-02-04	Q2792033
IPR	SC	9.7	2013-02-04	Q2792033
Datamonitor	SC	9.6	2013-02-04	Q2792033
Piepoli	SC	10.5	2013-02-04	Q2792033
Tecnè	SC	8.7	2013-02-04	Q2792033
ISPO	SC	9.5	2013-02-04	Q2792033
Euromedia	SC	7.5	2013-02-03	Q2792033
Lorien	SC	9.8	2013-02-03	Q2792033
ScenariPolitici	SC	6.7	2013-02-03	Q2792033
Tecnè	SC	9	2013-02-02	Q2792033
TP	SC	10.1	2013-02-01	Q2792033
EMG	SC	10.1	2013-02-01	Q2792033
Demopolis	SC	10	2013-02-01	Q2792033
Tecnè	SC	9	2013-01-31	Q2792033
SpinCon	SC	7.8	2013-01-31	Q2792033
Tecnè	SC	9.5	2013-01-30	Q2792033
Tecnè	SC	9.1	2013-01-29	Q2792033
Datamonitor	SC	9	2013-01-29	Q2792033
ISPO	SC	9.7	2013-01-29	Q2792033
SWG	SC	9.4	2013-01-29	Q2792033
Quorum	SC	10.2	2013-01-29	Q2792033
Tecnè	SC	9.6	2013-01-28	Q2792033
Ipsos	SC	10.7	2013-01-28	Q2792033
IPR	SC	10.3	2013-01-28	Q2792033
TP	SC	9.5	2013-01-28	Q2792033
Demos&Pi	SC	12.5	2013-01-28	Q2792033
ISPO	SC	9.5	2013-01-27	Q2792033
Lorien	SC	10.1	2013-01-27	Q2792033
Bidimedia	SC	6.7	2013-01-27	Q2792033
Tecnè	SC	9.6	2013-01-26	Q2792033
Euromedia	SC	8.2	2013-01-26	Q2792033
ScenariPolitici	SC	7.5	2013-01-26	Q2792033
Piepoli	SC	10	2013-01-25	Q2792033
EMG	SC	9.6	2013-01-25	Q2792033
Quorum	SC	9.8	2013-01-25	Q2792033
Tecnè	SC	9.9	2013-01-24	Q2792033
SpinCon	SC	8.4	2013-01-24	Q2792033
Demopolis	SC	9.5	2013-01-24	Q2792033
Lorien	SC	10.8	2013-01-24	Q2792033
Tecnè	SC	10.2	2013-01-23	Q2792033
SWG	SC	7.5	2013-01-23	Q2792033
Tecnè	SC	9.9	2013-01-22	Q2792033
Datamonitor	SC	8.5	2013-01-22	Q2792033
SpinCon	SC	7.9	2013-01-22	Q2792033
Demos&Pi	SC	11.6	2013-01-22	Q2792033
Tecnè	SC	9.9	2013-01-21	Q2792033
Ipsos	SC	11	2013-01-21	Q2792033
IPR	SC	9.5	2013-01-21	Q2792033
Piepoli	SC	9	2013-01-21	Q2792033
Tecnè	SC	9.8	2013-01-19	Q2792033
ScenariPolitici	SC	6.7	2013-01-19	Q2792033
EMG	SC	10.1	2013-01-18	Q2792033
Tecnè	SC	9.6	2013-01-17	Q2792033
ISPO	SC	9	2013-01-17	Q2792033
Tecnè	SC	9.8	2013-01-16	Q2792033
SWG	SC	8.6	2013-01-16	Q2792033
SpinCon	SC	8.1	2013-01-16	Q2792033
Tecnè	SC	9.7	2013-01-15	Q2792033
Datamonitor	SC	7.5	2013-01-15	Q2792033
Bidimedia	SC	7.2	2013-01-15	Q2792033
Tecnè	SC	9.4	2013-01-14	Q2792033
Piepoli	SC	9	2013-01-14	Q2792033
Ipsos	SC	10.9	2013-01-14	Q2792033
IPR	SC	10	2013-01-14	Q2792033
Lorien	SC	10.8	2013-01-14	Q2792033
Tecnè	SC	9.3	2013-01-12	Q2792033
Euromedia	SC	6	2013-01-12	Q2792033
ISPO	SC	9.3	2013-01-11	Q2792033
EMG	SC	9.8	2013-01-11	Q2792033
Tecnè	SC	9.4	2013-01-10	Q2792033
ISPO	SC	9.8	2013-01-10	Q2792033
SWG	SC	8.8	2013-01-09	Q2792033
Tecnè	SC	9.1	2013-01-08	Q2792033
Euromedia	SC	5.5	2013-01-08	Q2792033
Tecnè	SC	9.2	2013-01-07	Q2792033
Piepoli	SC	8	2013-01-07	Q2792033
Ipsos	SC	12	2013-01-07	Q2792033
ISPO	SC	9	2013-01-06	Q2792033
ScenariPolitici	SC	8	2013-01-06	Q2792033
IPR	SC	10	2013-01-05	Q2792033
Tecnè	SC	8.7	2013-01-05	Q2792033
Tecnè	SC	6.7	2013-01-03	Q2792033
IPR	SC	10	2013-01-03	Q2792033
Tecnè	SC	6.2	2013-01-02	Q2792033
Lorien	SC	9.3	2013-01-02	Q2792033
Piepoli	SC	4	2013-01-01	Q2792033
Ipsos	FdI	2.5	2013-02-23	Q1757843
Ipsos	FdI	2.3	2013-02-22	Q1757843
Ipsos	FdI	2	2013-02-21	Q1757843
EMG	FdI	2	2013-02-21	Q1757843
Ipsos	FdI	1.5	2013-02-20	Q1757843
Ipsos	FdI	2	2013-02-19	Q1757843
Ipsos	FdI	1.8	2013-02-14	Q1757843
EMG	FdI	1.1	2013-02-14	Q1757843
IPR	FdI	1.3	2013-02-08	Q1757843
TP	FdI	2	2013-02-08	Q1757843
Ipsos	FdI	2.3	2013-02-07	Q1757843
SWG	FdI	1	2013-02-07	Q1757843
EMG	FdI	1.2	2013-02-07	Q1757843
Quorum	FdI	1.8	2013-02-07	Q1757843
Lorien	FdI	1.7	2013-02-07	Q1757843
Ipsos	FdI	2.1	2013-02-06	Q1757843
SpinCon	FdI	2.8	2013-02-06	Q1757843
Piepoli	FdI	1.5	2013-02-05	Q1757843
ISPO	FdI	1	2013-02-05	Q1757843
SWG	FdI	1.7	2013-02-05	Q1757843
Ipsos	FdI	2.6	2013-02-04	Q1757843
IPR	FdI	1.3	2013-02-04	Q1757843
Datamonitor	FdI	1.7	2013-02-04	Q1757843
Piepoli	FdI	2	2013-02-04	Q1757843
ISPO	FdI	1.5	2013-02-04	Q1757843
Euromedia	FdI	1.9	2013-02-03	Q1757843
Lorien	FdI	1.4	2013-02-03	Q1757843
ScenariPolitici	FdI	3	2013-02-03	Q1757843
TP	FdI	2	2013-02-01	Q1757843
EMG	FdI	0.8	2013-02-01	Q1757843
SpinCon	FdI	3.2	2013-01-31	Q1757843
Datamonitor	FdI	1.6	2013-01-29	Q1757843
ISPO	FdI	2	2013-01-29	Q1757843
SWG	FdI	1.4	2013-01-29	Q1757843
Quorum	FdI	1.3	2013-01-29	Q1757843
Ipsos	FdI	1.4	2013-01-28	Q1757843
IPR	FdI	1.3	2013-01-28	Q1757843
TP	FdI	2.1	2013-01-28	Q1757843
ISPO	FdI	1.5	2013-01-27	Q1757843
Lorien	FdI	1.5	2013-01-27	Q1757843
Bidimedia	FdI	2.4	2013-01-27	Q1757843
Euromedia	FdI	1.8	2013-01-26	Q1757843
ScenariPolitici	FdI	2.7	2013-01-26	Q1757843
Piepoli	FdI	2	2013-01-25	Q1757843
EMG	FdI	0.7	2013-01-25	Q1757843
Quorum	FdI	1.4	2013-01-25	Q1757843
Tecnè	FdI	1	2013-01-24	Q1757843
SpinCon	FdI	2.8	2013-01-24	Q1757843
Lorien	FdI	1.8	2013-01-24	Q1757843
SWG	FdI	1.5	2013-01-23	Q1757843
Datamonitor	FdI	1.5	2013-01-22	Q1757843
SpinCon	FdI	2.2	2013-01-22	Q1757843
Ipsos	FdI	1.2	2013-01-21	Q1757843
IPR	FdI	1	2013-01-21	Q1757843
Piepoli	FdI	2	2013-01-21	Q1757843
ScenariPolitici	FdI	3.1	2013-01-19	Q1757843
EMG	FdI	0.9	2013-01-18	Q1757843
ISPO	FdI	1.1	2013-01-17	Q1757843
SWG	FdI	1.5	2013-01-16	Q1757843
SpinCon	FdI	2	2013-01-16	Q1757843
Datamonitor	FdI	1.5	2013-01-15	Q1757843
Bidimedia	FdI	1.9	2013-01-15	Q1757843
Piepoli	FdI	2	2013-01-14	Q1757843
Ipsos	FdI	1.4	2013-01-14	Q1757843
IPR	FdI	1.5	2013-01-14	Q1757843
Lorien	FdI	1.8	2013-01-14	Q1757843
ISPO	FdI	1.1	2013-01-11	Q1757843
EMG	FdI	1.1	2013-01-11	Q1757843
ISPO	FdI	1.1	2013-01-10	Q1757843
SWG	FdI	1.5	2013-01-09	Q1757843
Euromedia	FdI	1.8	2013-01-08	Q1757843
Piepoli	FdI	2	2013-01-07	Q1757843
Ipsos	FdI	1.6	2013-01-07	Q1757843
ScenariPolitici	FdI	3.5	2013-01-06	Q1757843
IPR	FdI	1.5	2013-01-05	Q1757843
Lorien	FdI	1.9	2013-01-02	Q1757843
IPR	CD	1	2013-02-08	Q1952211
SWG	CD	0.3	2013-02-07	Q1952211
Lorien	CD	0.2	2013-02-07	Q1952211
SpinCon	CD	0.4	2013-02-06	Q1952211
Piepoli	CD	0.5	2013-02-05	Q1952211
SWG	CD	0.4	2013-02-05	Q1952211
IPR	CD	1	2013-02-04	Q1952211
Datamonitor	CD	0.4	2013-02-04	Q1952211
Piepoli	CD	1	2013-02-04	Q1952211
Lorien	CD	0.2	2013-02-03	Q1952211
ScenariPolitici	CD	0.8	2013-02-03	Q1952211
SpinCon	CD	0.3	2013-01-31	Q1952211
Datamonitor	CD	0.5	2013-01-29	Q1952211
SWG	CD	0.5	2013-01-29	Q1952211
IPR	CD	1	2013-01-28	Q1952211
TP	CD	0.7	2013-01-28	Q1952211
Lorien	CD	0.5	2013-01-27	Q1952211
Bidimedia	CD	1	2013-01-27	Q1952211
ScenariPolitici	CD	1	2013-01-26	Q1952211
Piepoli	CD	1	2013-01-25	Q1952211
SpinCon	CD	0.5	2013-01-24	Q1952211
SWG	CD	0.3	2013-01-23	Q1952211
Datamonitor	CD	0.5	2013-01-22	Q1952211
SpinCon	CD	0.5	2013-01-22	Q1952211
Ipsos	CD	0.2	2013-01-21	Q1952211
IPR	CD	1	2013-01-21	Q1952211
Piepoli	CD	1	2013-01-21	Q1952211
ScenariPolitici	CD	1	2013-01-19	Q1952211
EMG	CD	1.2	2013-01-18	Q1952211
SWG	CD	0.4	2013-01-16	Q1952211
SpinCon	CD	0.3	2013-01-16	Q1952211
Datamonitor	CD	0.5	2013-01-15	Q1952211
Bidimedia	CD	1	2013-01-15	Q1952211
Piepoli	CD	1	2013-01-14	Q1952211
Ipsos	CD	0.2	2013-01-14	Q1952211
IPR	CD	1.5	2013-01-14	Q1952211
Euromedia	CD	1	2013-01-12	Q1952211
ISPO	CD	0.5	2013-01-11	Q1952211
EMG	CD	0.9	2013-01-11	Q1952211
ISPO	CD	0.5	2013-01-10	Q1952211
SWG	CD	0.7	2013-01-09	Q1952211
Euromedia	CD	0.2	2013-01-08	Q1952211
Piepoli	CD	1	2013-01-07	Q1952211
Ipsos	CD	0.2	2013-01-07	Q1952211
ISPO	CD	1.5	2013-01-06	Q1952211
ScenariPolitici	CD	0.8	2013-01-06	Q1952211
IPR	CD	2	2013-01-05	Q1952211
Lorien	CD	0.6	2013-01-02	Q1952211
Piepoli	CD	2	2013-01-01	Q1952211
ISPO	M5S	21.2	2013-12-23	Q47817
Ixè	M5S	21.3	2013-12-20	Q47817
IPR	M5S	20	2013-12-20	Q47817
SWG	M5S	18.2	2013-12-20	Q47817
Tecnè	M5S	21.7	2013-12-19	Q47817
ScenariPolitici	M5S	23.6	2013-12-18	Q47817
Ipsos	M5S	20.9	2013-12-17	Q47817
IPR	M5S	21	2013-12-16	Q47817
Datamedia	M5S	21.7	2013-12-16	Q47817
Lorien	M5S	19	2013-12-15	Q47817
EMG	M5S	21.7	2013-12-15	Q47817
Euromedia	M5S	22.5	2013-12-13	Q47817
EULAB	M5S	18.9	2013-12-13	Q47817
Ixè	M5S	21.9	2013-12-13	Q47817
Tecnè	M5S	23.2	2013-12-13	Q47817
SWG	M5S	18.1	2013-12-13	Q47817
IPR	M5S	21	2013-12-11	Q47817
Demopolis	M5S	22.5	2013-12-11	Q47817
Ipsos	M5S	21.5	2013-12-10	Q47817
Euromedia	M5S	23	2013-12-09	Q47817
Datamedia	M5S	21.9	2013-12-09	Q47817
EMG	M5S	22.3	2013-12-08	Q47817
SWG	M5S	21.1	2013-12-06	Q47817
Ixè	M5S	23.3	2013-12-06	Q47817
Euromedia	M5S	24	2013-12-06	Q47817
Tecnè	M5S	23.8	2013-12-05	Q47817
Demopolis	M5S	23	2013-12-04	Q47817
Ipsos	M5S	21.2	2013-12-03	Q47817
Tecnè	M5S	23.4	2013-12-02	Q47817
IPR	M5S	22.5	2013-12-02	Q47817
Datamedia	M5S	22.2	2013-12-02	Q47817
ISPO	M5S	21.8	2013-11-29	Q47817
Euromedia	M5S	23.2	2013-11-29	Q47817
Ixè	M5S	24.5	2013-11-29	Q47817
SWG	M5S	19.4	2013-11-29	Q47817
EMG	M5S	23.2	2013-11-29	Q47817
Demos&Pi	M5S	21.4	2013-11-29	Q47817
IPR	M5S	23	2013-11-27	Q47817
Ipsos	M5S	21	2013-11-26	Q47817
IPR	M5S	23.5	2013-11-25	Q47817
Tecnè	M5S	23.9	2013-11-25	Q47817
Datamedia	M5S	20.8	2013-11-25	Q47817
Lorien	M5S	18.5	2013-11-24	Q47817
EMG	M5S	23.6	2013-11-24	Q47817
Ixè	M5S	25	2013-11-22	Q47817
SWG	M5S	19.8	2013-11-22	Q47817
Piepoli	M5S	21.5	2013-11-20	Q47817
Euromedia	M5S	24.2	2013-11-19	Q47817
Ipsos	M5S	20.8	2013-11-19	Q47817
Datamedia	M5S	20	2013-11-18	Q47817
IPR	M5S	23	2013-11-18	Q47817
ISPO	M5S	22.8	2013-11-18	Q47817
EMG	M5S	22	2013-11-17	Q47817
Tecnè	M5S	25.3	2013-11-15	Q47817
SWG	M5S	20.8	2013-11-15	Q47817
Ixè	M5S	25.3	2013-11-15	Q47817
Demopolis	M5S	22	2013-11-13	Q47817
Ipsos	M5S	21.4	2013-11-12	Q47817
IPR	M5S	22	2013-11-11	Q47817
Datamedia	M5S	20.7	2013-11-11	Q47817
EMG	M5S	21.7	2013-11-10	Q47817
Tecnè	M5S	24.8	2013-11-08	Q47817
SWG	M5S	21.3	2013-11-08	Q47817
Ixè	M5S	24.5	2013-11-08	Q47817
Ipsos	M5S	21.2	2013-11-05	Q47817
IPR	M5S	21	2013-11-04	Q47817
Datamedia	M5S	20.5	2013-11-04	Q47817
Lorien	M5S	17.3	2013-11-03	Q47817
EMG	M5S	20.4	2013-11-03	Q47817
Tecnè	M5S	24.3	2013-11-01	Q47817
SWG	M5S	19.2	2013-10-31	Q47817
Ixè	M5S	24.1	2013-10-31	Q47817
ISPO	M5S	21.8	2013-10-29	Q47817
Ipsos	M5S	21.3	2013-10-29	Q47817
IPR	M5S	22	2013-10-28	Q47817
Datamedia	M5S	20.4	2013-10-28	Q47817
EMG	M5S	21	2013-10-27	Q47817
Tecnè	M5S	24.1	2013-10-25	Q47817
SWG	M5S	20.6	2013-10-25	Q47817
Ixè	M5S	24.6	2013-10-25	Q47817
Piepoli	M5S	20	2013-10-23	Q47817
Ipsos	M5S	21.6	2013-10-22	Q47817
IPR	M5S	22.5	2013-10-21	Q47817
Datamedia	M5S	22	2013-10-21	Q47817
Lorien	M5S	18.1	2013-10-20	Q47817
EMG	M5S	21.5	2013-10-19	Q47817
Tecnè	M5S	22	2013-10-18	Q47817
SWG	M5S	21.2	2013-10-18	Q47817
Ixè	M5S	21.8	2013-10-18	Q47817
Ipsos	M5S	21.4	2013-10-15	Q47817
IPR	M5S	22	2013-10-14	Q47817
ISPO	M5S	21.5	2013-10-14	Q47817
Datamedia	M5S	21.8	2013-10-14	Q47817
Lorien	M5S	16.9	2013-10-13	Q47817
Tecnè	M5S	23.1	2013-10-11	Q47817
SWG	M5S	20	2013-10-11	Q47817
Ixè	M5S	24.3	2013-10-11	Q47817
EMG	M5S	20.6	2013-10-11	Q47817
ScenariPolitici	M5S	25.4	2013-10-10	Q47817
Ipsos	M5S	21.2	2013-10-08	Q47817
IPR	M5S	22	2013-10-07	Q47817
Ixè	M5S	24.1	2013-10-07	Q47817
Datamedia	M5S	22.1	2013-10-07	Q47817
Tecnè	M5S	22.4	2013-10-04	Q47817
Euromedia	M5S	22	2013-10-04	Q47817
EMG	M5S	19.5	2013-10-04	Q47817
Demos&Pi	M5S	20.9	2013-10-04	Q47817
IPR	M5S	22.5	2013-10-03	Q47817
SWG	M5S	19.1	2013-10-03	Q47817
SWG	M5S	20	2013-10-01	Q47817
Ipsos	M5S	21.4	2013-10-01	Q47817
IPR	M5S	22	2013-09-30	Q47817
Datamedia	M5S	20.5	2013-09-30	Q47817
Lorien	M5S	18.5	2013-09-29	Q47817
EMG	M5S	19.7	2013-09-29	Q47817
Tecnè	M5S	22.2	2013-09-27	Q47817
SWG	M5S	18.8	2013-09-27	Q47817
Ixè	M5S	22.4	2013-09-27	Q47817
Datamedia	M5S	18.5	2013-09-25	Q47817
Ipsos	M5S	21	2013-09-24	Q47817
Lorien	M5S	18	2013-09-22	Q47817
Tecnè	M5S	21.8	2013-09-20	Q47817
SWG	M5S	18.3	2013-09-20	Q47817
EMG	M5S	21.4	2013-09-20	Q47817
Ipsos	M5S	20.3	2013-09-17	Q47817
Demopolis	M5S	19	2013-09-17	Q47817
Lorien	M5S	17.8	2013-09-15	Q47817
Tecnè	M5S	20.4	2013-09-13	Q47817
SWG	M5S	20.5	2013-09-13	Q47817
EMG	M5S	20	2013-09-13	Q47817
ISPO	M5S	18.9	2013-09-12	Q47817
Demos&Pi	M5S	20.9	2013-09-12	Q47817
Ipsos	M5S	19.4	2013-09-10	Q47817
Tecnè	M5S	19.2	2013-09-06	Q47817
SWG	M5S	19.8	2013-09-06	Q47817
EMG	M5S	19.5	2013-09-06	Q47817
Euromedia	M5S	19.5	2013-09-04	Q47817
IPR	M5S	19.5	2013-09-03	Q47817
Tecnè	M5S	17.7	2013-09-03	Q47817
Lorien	M5S	19	2013-09-01	Q47817
SWG	M5S	20.1	2013-08-30	Q47817
IPR	M5S	19	2013-08-05	Q47817
SWG	M5S	18.2	2013-08-02	Q47817
Tecnè	M5S	17	2013-08-02	Q47817
SWG	M5S	20	2013-07-26	Q47817
Tecnè	M5S	16.3	2013-07-26	Q47817
EMG	M5S	20.6	2013-07-26	Q47817
IPR	M5S	18.5	2013-07-22	Q47817
Lorien	M5S	17	2013-07-21	Q47817
Piepoli	M5S	18.5	2013-07-19	Q47817
SWG	M5S	18.5	2013-07-19	Q47817
Tecnè	M5S	16.4	2013-07-19	Q47817
EMG	M5S	20	2013-07-19	Q47817
ScenariPolitici	M5S	23.6	2013-07-19	Q47817
SWG	M5S	18.6	2013-07-12	Q47817
Tecnè	M5S	15.9	2013-07-12	Q47817
EMG	M5S	19.2	2013-07-12	Q47817
IPR	M5S	17.5	2013-07-11	Q47817
Demopolis	M5S	17.8	2013-07-08	Q47817
SWG	M5S	17.3	2013-07-05	Q47817
Tecnè	M5S	16	2013-07-05	Q47817
EMG	M5S	17.6	2013-07-05	Q47817
IPR	M5S	18.5	2013-07-03	Q47817
Piepoli	M5S	19.5	2013-07-03	Q47817
Euromedia	M5S	16.1	2013-07-02	Q47817
Ipsos	M5S	16.6	2013-07-02	Q47817
Lorien	M5S	17.6	2013-06-30	Q47817
SWG	M5S	18.1	2013-06-28	Q47817
Tecnè	M5S	16.2	2013-06-28	Q47817
EMG	M5S	17	2013-06-28	Q47817
Demopolis	M5S	18	2013-06-28	Q47817
Ipsos	M5S	17	2013-06-25	Q47817
SWG	M5S	16.9	2013-06-21	Q47817
Tecnè	M5S	16.9	2013-06-21	Q47817
EMG	M5S	17.9	2013-06-21	Q47817
Datamonitor	M5S	18	2013-06-20	Q47817
IPR	M5S	17.5	2013-06-19	Q47817
Ipsos	M5S	17.8	2013-06-18	Q47817
Lorien	M5S	19	2013-06-17	Q47817
Tecnè	M5S	18	2013-06-15	Q47817
SWG	M5S	17.9	2013-06-14	Q47817
EMG	M5S	18.8	2013-06-14	Q47817
Ipsos	M5S	18.5	2013-06-11	Q47817
Tecnè	M5S	18.8	2013-06-10	Q47817
SWG	M5S	19.9	2013-06-07	Q47817
EMG	M5S	19.7	2013-06-07	Q47817
SpinCon	M5S	20.1	2013-06-04	Q47817
Ipsos	M5S	19.8	2013-06-04	Q47817
IPR	M5S	22	2013-06-03	Q47817
Piepoli	M5S	21.5	2013-06-03	Q47817
SpinCon	M5S	20.2	2013-05-31	Q47817
SWG	M5S	19.1	2013-05-31	Q47817
Tecnè	M5S	19.8	2013-05-31	Q47817
EMG	M5S	22.1	2013-05-31	Q47817
ScenariPolitici	M5S	22.7	2013-05-31	Q47817
Piepoli	M5S	22.5	2013-05-30	Q47817
Ipsos	M5S	21.2	2013-05-28	Q47817
Lorien	M5S	19.3	2013-05-27	Q47817
SWG	M5S	22.6	2013-05-24	Q47817
Tecnè	M5S	21	2013-05-24	Q47817
EMG	M5S	24.2	2013-05-24	Q47817
SpinCon	M5S	21.2	2013-05-21	Q47817
Ipsos	M5S	23.6	2013-05-21	Q47817
SpinCon	M5S	22.1	2013-05-17	Q47817
SWG	M5S	21.8	2013-05-17	Q47817
Tecnè	M5S	21.4	2013-05-17	Q47817
EMG	M5S	23	2013-05-17	Q47817
Piepoli	M5S	25	2013-05-15	Q47817
IPR	M5S	24	2013-05-14	Q47817
Ipsos	M5S	22.5	2013-05-14	Q47817
Demos&Pi	M5S	22.9	2013-05-11	Q47817
Tecnè	M5S	21.8	2013-05-10	Q47817
SWG	M5S	21.8	2013-05-10	Q47817
EMG	M5S	23.4	2013-05-10	Q47817
ISPO	M5S	23.7	2013-05-09	Q47817
IPR	M5S	26.5	2013-05-08	Q47817
Ipsos	M5S	23	2013-05-07	Q47817
Euromedia	M5S	23.7	2013-05-06	Q47817
SpinCon	M5S	23.5	2013-05-05	Q47817
Lorien	M5S	25.5	2013-05-05	Q47817
SpinCon	M5S	23.2	2013-05-03	Q47817
Tecnè	M5S	22	2013-05-03	Q47817
SWG	M5S	23.7	2013-05-03	Q47817
EMG	M5S	25.9	2013-05-03	Q47817
Piepoli	M5S	25.5	2013-05-01	Q47817
IPR	M5S	27	2013-04-30	Q47817
Ipsos	M5S	25.1	2013-04-30	Q47817
Piepoli	M5S	25.5	2013-04-27	Q47817
EMG	M5S	26.1	2013-04-26	Q47817
SWG	M5S	25.5	2013-04-26	Q47817
Demopolis	M5S	25	2013-04-26	Q47817
IPR	M5S	26.5	2013-04-25	Q47817
Tecnè	M5S	21.2	2013-04-23	Q47817
Ipsos	M5S	24.1	2013-04-23	Q47817
Lorien	M5S	27.3	2013-04-21	Q47817
SWG	M5S	24	2013-04-19	Q47817
EMG	M5S	29.1	2013-04-19	Q47817
ScenariPolitici	M5S	23	2013-04-19	Q47817
Piepoli	M5S	24.5	2013-04-17	Q47817
Demopolis	M5S	23.1	2013-04-17	Q47817
Ipsos	M5S	24.5	2013-04-16	Q47817
ISPO	M5S	23.7	2013-04-13	Q47817
SWG	M5S	24	2013-04-12	Q47817
EMG	M5S	23.9	2013-04-12	Q47817
Euromedia	M5S	23.7	2013-04-10	Q47817
Ipsos	M5S	24.9	2013-04-09	Q47817
ISPO	M5S	24.7	2013-04-08	Q47817
SWG	M5S	25.4	2013-04-05	Q47817
Lorien	M5S	25.3	2013-04-04	Q47817
Ipsos	M5S	25.1	2013-04-02	Q47817
SWG	M5S	24.8	2013-03-29	Q47817
ISPO	M5S	26.1	2013-03-27	Q47817
Piepoli	M5S	26.5	2013-03-26	Q47817
Ipsos	M5S	27	2013-03-26	Q47817
Tecnè	M5S	26.2	2013-03-25	Q47817
SWG	M5S	26.9	2013-03-22	Q47817
IPR	M5S	24.5	2013-03-20	Q47817
Euromedia	M5S	28.5	2013-03-20	Q47817
Ipsos	M5S	28.2	2013-03-19	Q47817
IPR	M5S	24	2013-03-18	Q47817
SWG	M5S	30	2013-03-15	Q47817
ScenariPolitici	M5S	25	2013-03-15	Q47817
Lorien	M5S	29.3	2013-03-14	Q47817
Piepoli	M5S	26.5	2013-03-13	Q47817
Ipsos	M5S	28.7	2013-03-12	Q47817
SWG	M5S	27	2013-03-08	Q47817
ISPO	M5S	28.7	2013-03-07	Q47817
Piepoli	M5S	26.5	2013-03-06	Q47817
Ipsos	M5S	29.4	2013-03-05	Q47817
Lorien	M5S	28.5	2013-03-01	Q47817
ISPO	PD	32.5	2013-12-23	Q47729
Ixè	PD	30.5	2013-12-20	Q47729
IPR	PD	32.5	2013-12-20	Q47729
SWG	PD	34.8	2013-12-20	Q47729
Tecnè	PD	29.4	2013-12-19	Q47729
ScenariPolitici	PD	29.3	2013-12-18	Q47729
Ipsos	PD	32.2	2013-12-17	Q47729
IPR	PD	32	2013-12-16	Q47729
Datamedia	PD	30.6	2013-12-16	Q47729
Lorien	PD	33	2013-12-15	Q47729
EMG	PD	31	2013-12-15	Q47729
Euromedia	PD	28	2013-12-13	Q47729
EULAB	PD	29.9	2013-12-13	Q47729
Ixè	PD	29.5	2013-12-13	Q47729
Tecnè	PD	28	2013-12-13	Q47729
SWG	PD	35.6	2013-12-13	Q47729
IPR	PD	31	2013-12-11	Q47729
Demopolis	PD	30	2013-12-11	Q47729
Ipsos	PD	31.6	2013-12-10	Q47729
Euromedia	PD	27.5	2013-12-09	Q47729
Datamedia	PD	30.2	2013-12-09	Q47729
EMG	PD	29.6	2013-12-08	Q47729
SWG	PD	29.6	2013-12-06	Q47729
Ixè	PD	27.4	2013-12-06	Q47729
Euromedia	PD	25.8	2013-12-06	Q47729
Tecnè	PD	26.8	2013-12-05	Q47729
Demopolis	PD	28	2013-12-04	Q47729
Ipsos	PD	31	2013-12-03	Q47729
Tecnè	PD	26.4	2013-12-02	Q47729
IPR	PD	28.5	2013-12-02	Q47729
Datamedia	PD	28.5	2013-12-02	Q47729
ISPO	PD	30.5	2013-11-29	Q47729
Euromedia	PD	26.1	2013-11-29	Q47729
Ixè	PD	26.7	2013-11-29	Q47729
SWG	PD	30.2	2013-11-29	Q47729
EMG	PD	28.7	2013-11-29	Q47729
Demos&Pi	PD	29.1	2013-11-29	Q47729
IPR	PD	28.5	2013-11-27	Q47729
Ipsos	PD	30.7	2013-11-26	Q47729
IPR	PD	28	2013-11-25	Q47729
Tecnè	PD	26.8	2013-11-25	Q47729
Datamedia	PD	28.9	2013-11-25	Q47729
Lorien	PD	31	2013-11-24	Q47729
EMG	PD	28.2	2013-11-24	Q47729
Ixè	PD	27.3	2013-11-22	Q47729
SWG	PD	27.4	2013-11-22	Q47729
Piepoli	PD	30.5	2013-11-20	Q47729
Euromedia	PD	26.5	2013-11-19	Q47729
Ipsos	PD	30.6	2013-11-19	Q47729
Datamedia	PD	30.3	2013-11-18	Q47729
IPR	PD	29.5	2013-11-18	Q47729
ISPO	PD	29.2	2013-11-18	Q47729
EMG	PD	30	2013-11-17	Q47729
Tecnè	PD	25.5	2013-11-15	Q47729
SWG	PD	28.3	2013-11-15	Q47729
Ixè	PD	26.8	2013-11-15	Q47729
Demopolis	PD	28	2013-11-13	Q47729
Ipsos	PD	30.4	2013-11-12	Q47729
IPR	PD	29.5	2013-11-11	Q47729
Datamedia	PD	29.5	2013-11-11	Q47729
EMG	PD	29.8	2013-11-10	Q47729
Tecnè	PD	26.1	2013-11-08	Q47729
SWG	PD	28.8	2013-11-08	Q47729
Ixè	PD	28.2	2013-11-08	Q47729
Ipsos	PD	29.7	2013-11-05	Q47729
IPR	PD	30.5	2013-11-04	Q47729
Datamedia	PD	29.7	2013-11-04	Q47729
Lorien	PD	31.2	2013-11-03	Q47729
EMG	PD	30.5	2013-11-03	Q47729
Tecnè	PD	27	2013-11-01	Q47729
SWG	PD	28.8	2013-10-31	Q47729
Ixè	PD	29	2013-10-31	Q47729
ISPO	PD	30.1	2013-10-29	Q47729
Ipsos	PD	30.2	2013-10-29	Q47729
IPR	PD	29	2013-10-28	Q47729
Datamedia	PD	30	2013-10-28	Q47729
EMG	PD	30.1	2013-10-27	Q47729
Tecnè	PD	27.2	2013-10-25	Q47729
SWG	PD	28	2013-10-25	Q47729
